CVE ID,Title,Description,Technology Area,Vulnerability Type,Access Vector,CVSS Rating,CVSS Score,CVSS String,Affected Chipsets,Affected Software Versions,Bulletin Date,Source URL
CVE-2023-42729,Out-of-bounds Write in ril service,"In ril service, there is a possible out of bounds write due to a missing bounds check. This could lead to local denial of service with System execution privileges needed.",Android,cwe-787 Out-of-bounds Write,Local,Medium,6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android12/Android13,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42730,Exposure of Sensitive Information to an Unauthorized Actor in IMS service,"In IMS service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12/Android13,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42731,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') in Gnss service,"In Gnss service, there is a possible out of bounds read due to a missing bounds check. This could lead to local denial of service with System execution privileges needed.",Android,cwe-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Local,Medium,4.2,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:L/I:L/A:L,T606/T612/T616,Android11/Android12/Android13,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42751,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') in gnss service,"In gnss service, there is a possible out of bounds write due to a missing bounds check. This could lead to local denial of service with System execution privileges needed.",WCN,cwe-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Local,Medium,5.9,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12/Android13,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2022-48462,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') in wifi service,"In wifi service, there is a possible out of bounds write due to a missing bounds check. This could lead to local denial of service with no additional execution privileges needed.",Android,cwe-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Local,Medium,6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android10,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2022-48463,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') in wifi service,"In wifi service, there is a possible out of bounds write due to a missing bounds check. This could lead to local denial of service with no additional execution privileges needed.",Android,cwe-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Local,Medium,6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android10,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2022-48464,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') in wifi service,"In wifi service, there is a possible out of bounds write due to a missing bounds check. This could lead to local denial of service with no additional execution privileges needed.",Android,cwe-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Local,Medium,6.7,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android10,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42732,Exposure of Sensitive Information to an Unauthorized Actor in telephony service,"In telephony service, there is a possible missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12/Android13,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42733,Exposure of Sensitive Information to an Unauthorized Actor in telephony service,"In telephony service, there is a possible missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12/Android13,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42734,Exposure of Sensitive Information to an Unauthorized Actor in telephony service,"In telephony service, there is a possible missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android13/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
